,Date,Close,High,Low,Open,Volume,bid_volume,ask_volume,bid,ask,bid_ask_spread,order_book_depth,cumulative_price_volume,cumulative_volume,vwap,inflation_rate,gdp_growth_rate,unemployment_rate,interest_rate,nominal_interest_rate,ppp,price_return,inflation_adjusted_return,real_interest_rate,unemployment_rate_impact,ppp_adjusted_price,Return,Sentiment,SMA_20,EMA_20,RSI_14,hband,lband,MACD_12_26,MACD_sign_12_26,stoch_k,OBV,ichimoku_a_9_26,ichimoku_b_9_26,CVaR
0,2025-07-02,108859.3203125,109763.65625,105157.3984375,105703.1015625,56248657737.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.286910734960557e+18,77908463860436.0,42189.39216730903,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0299062484755399,-0.7195766257680074,-2.4226833178446263,0.0,108859.3203125,0.007244728772290987,63.0,108859.3203125,108859.3203125,100.0,108859.3203125,108859.3203125,0.0,0.0,80.36723139886126,56248657737.0,107460.52734375,107460.52734375,-0.016004589221859877
1,2025-07-03,109647.9765625,110541.4609375,108605.796875,108845.015625,50494742270.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.292447381277508e+18,77958958602706.0,42233.08571958303,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0072447287722909,-0.7257469153742858,-2.4226833178446263,0.0,109647.9765625,0.007244728772290987,73.0,109253.6484375,108934.43043154763,100.0,110042.3046875,108464.9921875,62.9127492877451,12.58254985754902,83.40501480062684,106743400007.0,107849.4296875,107849.4296875,-0.016004589221859877
2,2025-07-04,108034.3359375,109751.984375,107296.3828125,109635.65625,42616442656.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.297051420359867e+18,78001575045362.0,42269.03647064125,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,-0.0147165563432009,-0.7317265447664492,-2.4226833178446263,0.0,108034.3359375,-0.014716556343200904,73.0,108847.2109375,108848.70714640024,31.21631753619438,110164.85428265302,107529.56759234698,-17.237058242229978,6.618628237593221,53.4343258459574,64126957351.0,107849.4296875,107849.4296875,-0.016004589221859877
3,2025-07-05,108231.1796875,108381.34375,107842.2734375,108015.8359375,30615537520.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.300364976102424e+18,78032190582882.0,42294.91638578231,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0018220480395592,-0.7272234055215263,-2.4226833178446263,0.0,108231.1796875,0.0018220480395592098,67.0,108693.203125,108789.89500745737,36.916643732169824,109952.86929684949,107433.53695315051,-64.13342245240347,-7.531781900406117,57.09037088629636,94742494871.0,107849.4296875,107849.4296875,-0.016004589221859877
4,2025-07-06,109232.0703125,109731.625,107847.015625,108231.1875,36746020463.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.3043788199933425e+18,78068936603345.0,42326.42282272051,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0092477105755468,-0.7252015425147409,-2.4226833178446263,0.0,109232.0703125,0.009247710575546852,66.0,108800.9765625,108832.00694127094,56.60793757485073,110007.3135439818,107594.6395810182,-20.30159615039884,-10.08574475040466,75.68024841836439,131488515334.0,107849.4296875,107849.4296875,-0.016004589221859877
5,2025-07-07,108299.8515625,109710.25,107527.0546875,109235.328125,45415696597.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.309297333193405e+18,78114352299942.0,42364.77978446813,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,-0.0085342953523908,-0.7300432357371158,-2.4226833178446263,0.0,108299.8515625,-0.008534295352390808,73.0,108717.45572916669,108781.32547662608,43.110332195377055,109880.30654480155,107554.60491353176,-60.09409296618833,-20.0874143935614,58.36583667072959,86072818737.0,107849.4296875,107849.4296875,-0.016004589221859877
6,2025-07-08,108950.2734375,109198.96875,107499.5546875,108298.2265625,44282204127.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.3141218914414566e+18,78158634504069.0,42402.505013939575,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0060057503829968,-0.7260842650127026,-2.4226833178446263,0.0,108950.2734375,0.006005750382996888,65.0,108750.71540178572,108797.41575861408,51.75407811534766,109839.56634886934,107661.86445470208,-38.70021191911656,-23.80997389867243,70.44634047245923,130355022864.0,107849.4296875,107849.4296875,-0.016004589221859877
7,2025-07-09,111326.5546875,111925.375,108357.6796875,108950.2734375,57927418065.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.320570751316576e+18,78216561922134.0,42453.55036983425,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0218106956047536,-0.7217808868409543,-2.4226833178446263,0.0,111326.5546875,0.021810695604753683,66.0,109072.6953125,109038.2861327937,69.80478220360499,111057.68563946497,107087.70498553503,168.06330128779518,14.564681138621092,91.152151503923,188282440929.0,108541.38671875,108541.38671875,-0.016004589221859877
8,2025-07-10,115987.203125,116608.78125,110660.75,111329.1953125,95911605728.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.3316952702121943e+18,78312473527862.0,42543.60921222651,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0418646606874946,-0.7163205834749373,-2.4226833178446263,0.0,115987.203125,0.041864660687494615,71.0,109840.97395833331,109700.08775109908,83.13355694432593,114572.8292574556,105109.11865921106,699.9318744409247,151.6381197990818,94.57202562190564,284194046657.0,110883.08984375,110883.08984375,-0.016004589221859877
9,2025-07-11,117516.9921875,118856.4765625,115245.6875,115986.234375,86928361085.0,11.216,25.611,118500.0,118504.6,4.600000000005821,36.827,3.3419108297426924e+18,78399401888947.0,42626.738842683,2.6726833178446263,0.0,4.1,4.33,0.25,1.0,0.0131892917604998,-0.7241283268727056,-2.4226833178446263,0.0,117516.9921875,0.013189291760499877,71.0,110608.57578125,110444.5548402801,85.41009274103337,117039.98785188176,104177.16371061825,1230.6960450088663,367.44970484103874,90.22208383091473,371122407742.0,112541.68359375,112006.9375,-0.016004589221859877
