Date,inflation_rate,gdp_growth_rate,unemployment_rate,interest_rate,nominal_interest_rate,ppp,Close,High,Low,Open,Volume,price_return,inflation_adjusted_return,real_interest_rate,unemployment_rate_impact,ppp_adjusted_price
1948-01-01,,,,,,,,,,,,,,,,
1948-02-01,,,,,,,,,,,,,,,,
1948-03-01,,,,,,,,,,,,,,,,
1948-04-01,,,,,,,,,,,,,,,,
1948-05-01,,,,,,,,,,,,,,,,
1948-06-01,,,,,,,,,,,,,,,,
1948-07-01,,,,,,,,,,,,,,,,
1948-08-01,,,,,,,,,,,,,,,,
1948-09-01,,,,,,,,,,,,,,,,
1948-10-01,,,,,,,,,,,,,,,,
1948-11-01,,,,,,,,,,,,,,,,
1948-12-01,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,,,,,,,
1949-02-01,,,,,,,,,,,,,,,,
1949-03-01,,,,,,,,,,,,,,,,
1949-04-01,,,,,,,,,,,,,,,,
1949-05-01,,,,,,,,,,,,,,,,
1949-06-01,,,,,,,,,,,,,,,,
1949-07-01,,,,,,,,,,,,,,,,
1949-08-01,,,,,,,,,,,,,,,,
1949-09-01,,,,,,,,,,,,,,,,
1949-10-01,,,,,,,,,,,,,,,,
1949-11-01,,,,,,,,,,,,,,,,
1949-12-01,,,,,,,,,,,,,,,,
1950-01-01,,,,,1.5,,,,,,,,,,,
1950-02-01,,,,,1.5,,,,,,,,,,,
1950-03-01,,,,,1.5,,,,,,,,,,,
1950-04-01,,,,,1.5,,,,,,,,,,,
1950-05-01,,,,,1.5,,,,,,,,,,,
1950-06-01,,,,,1.5,,,,,,,,,,,
1950-07-01,,,,,1.5,,,,,,,,,,,
1950-08-01,,,,,1.59,,,,,,,,,,,
1950-09-01,,,,,1.75,,,,,,,,,,,
1950-10-01,,,,,1.75,,,,,,,,,,,
1950-11-01,,,,,1.75,,,,,,,,,,,
1950-12-01,,,,,1.75,,,,,,,,,,,
1951-01-01,,,,,1.75,,,,,,,,,,,
1951-02-01,,,,,1.75,,,,,,,,,,,
1951-03-01,,,,,1.75,,,,,,,,,,,
1951-04-01,,,,,1.75,,,,,,,,,,,
1951-05-01,,,,,1.75,,,,,,,,,,,
1951-06-01,,,,,1.75,,,,,,,,,,,
1951-07-01,,,,,1.75,,,,,,,,,,,
1951-08-01,,,,,1.75,,,,,,,,,,,
1951-09-01,,,,,1.75,,,,,,,,,,,
1951-10-01,,,,,1.75,,,,,,,,,,,
1951-11-01,,,,,1.75,,,,,,,,,,,
1951-12-01,,,,,1.75,,,,,,,,,,,
1952-01-01,,,,,1.75,,,,,,,,,,,
1952-02-01,,,,,1.75,,,,,,,,,,,
1952-03-01,,,,,1.75,,,,,,,,,,,
1952-04-01,,,,,1.75,,,,,,,,,,,
1952-05-01,,,,,1.75,,,,,,,,,,,
1952-06-01,,,,,1.75,,,,,,,,,,,
1952-07-01,,,,,1.75,,,,,,,,,,,
1952-08-01,,,,,1.75,,,,,,,,,,,
1952-09-01,,,,,1.75,,,,,,,,,,,
1952-10-01,,,,,1.75,,,,,,,,,,,
1952-11-01,,,,,1.75,,,,,,,,,,,
1952-12-01,,,,,1.75,,,,,,,,,,,
1953-01-01,,,,,1.88,,,,,,,,,,,
1953-02-01,,,,,2.0,,,,,,,,,,,
1953-03-01,,,,,2.0,,,,,,,,,,,
1953-04-01,,,,,2.0,,,,,,,,,,,
1953-05-01,,,,,2.0,,,,,,,,,,,
1953-06-01,,,,,2.0,,,,,,,,,,,
1953-07-01,,,,,2.0,,,,,,,,,,,
1953-08-01,,,,,2.0,,,,,,,,,,,
1953-09-01,,,,,2.0,,,,,,,,,,,
1953-10-01,,,,,2.0,,,,,,,,,,,
1953-11-01,,,,,2.0,,,,,,,,,,,
1953-12-01,,,,,2.0,,,,,,,,,,,
1954-01-01,,,,,2.0,,,,,,,,,,,
1954-02-01,,,,,1.79,,,,,,,,,,,
1954-03-01,,,,,1.75,,,,,,,,,,,
1954-04-01,,,,,1.63,,,,,,,,,,,
1954-05-01,,,,,1.5,,,,,,,,,,,
1954-06-01,,,,,1.5,,,,,,,,,,,
1954-07-01,,,,0.8,1.5,,,,,,,,,,,
1954-08-01,,,,1.22,1.5,,,,,,,,,,,
1954-09-01,,,,1.07,1.5,,,,,,,,,,,
1954-10-01,,,,0.85,1.5,,,,,,,,,,,
1954-11-01,,,,0.83,1.5,,,,,,,,,,,
1954-12-01,,,,1.28,1.5,,,,,,,,,,,
1955-01-01,,,,1.39,1.5,,,,,,,,,,,
1955-02-01,,,,1.29,1.5,,,,,,,,,,,
1955-03-01,,,,1.35,1.5,,,,,,,,,,,
1955-04-01,,,,1.43,1.63,,,,,,,,,,,
1955-05-01,,,,1.43,1.75,,,,,,,,,,,
1955-06-01,,,,1.64,1.75,,,,,,,,,,,
1955-07-01,,,,1.68,1.75,,,,,,,,,,,
1955-08-01,,,,1.96,1.97,,,,,,,,,,,
1955-09-01,,,,2.18,2.18,,,,,,,,,,,
1955-10-01,,,,2.24,2.25,,,,,,,,,,,
1955-11-01,,,,2.35,2.36,,,,,,,,,,,
1955-12-01,,,,2.48,2.5,,,,,,,,,,,
1956-01-01,,,,2.45,2.5,,,,,,,,,,,
1956-02-01,,,,2.5,2.5,,,,,,,,,,,
1956-03-01,,,,2.5,2.5,,,,,,,,,,,
1956-04-01,,,,2.62,2.65,,,,,,,,,,,
1956-05-01,,,,2.75,2.75,,,,,,,,,,,
1956-06-01,,,,2.71,2.75,,,,,,,,,,,
1956-07-01,,,,2.75,2.75,,,,,,,,,,,
1956-08-01,,,,2.73,2.81,,,,,,,,,,,
1956-09-01,,,,2.95,3.0,,,,,,,,,,,
