Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI_14,hband,lband,MACD_12_26,MACD_sign_12_26,stoch_k,OBV,ichimoku_a_9_26,ichimoku_b_9_26
2020-01-01,7200.17431640625,7254.33056640625,7174.9443359375,7194.89208984375,18565664997,,,,,,,,,18565664997,,7214.637451171875
2020-01-02,6985.47021484375,7212.1552734375,6935.27001953125,7202.55126953125,20802083465,,,,,,,,,-2236418468,,7094.80029296875
2020-01-03,7344.88427734375,7413.71533203125,6914.99609375,6984.4287109375,28111481032,,,,,,,,,25875062564,,7164.355712890625
2020-01-04,7410.65673828125,7427.3857421875,7309.51416015625,7345.37548828125,18444271275,,,,,,,,,44319333839,,7171.19091796875
2020-01-05,7411.3173828125,7544.4970703125,7400.53564453125,7410.45166015625,19725074095,,,,,,,,,64044407934,,7229.74658203125
2020-01-06,7769.21923828125,7781.8671875,7409.29296875,7410.4521484375,23276261598,,,,,,,,,87320669532,,7348.431640625
2020-01-07,8163.6923828125,8178.2158203125,7768.2275390625,7768.68212890625,28767291327,,,,,,,,,116087960859,,7546.60595703125
2020-01-08,8079.86279296875,8396.73828125,7956.7744140625,8161.935546875,31672559265,,,,,,,,,84415401594,,7655.8671875
2020-01-09,7879.0712890625,8082.2958984375,7842.40380859375,8082.2958984375,24045990466,,,,,,,,,60369411128,,7655.8671875
2020-01-10,8166.55419921875,8166.55419921875,7726.77490234375,7878.3076171875,28714583844,,,,,,,,,89083994972,,7655.8671875
2020-01-11,8037.53759765625,8218.359375,8029.64208984375,8162.19091796875,25521165085,,,,,,,,,63562829887,,7655.8671875
2020-01-12,8192.494140625,8200.0634765625,8009.05908203125,8033.26171875,22903438381,,,,,,,,,86466268268,,7655.8671875
2020-01-13,8144.1943359375,8197.7880859375,8079.70068359375,8189.77197265625,22482910688,,,,,,,,,63983357580,,7655.8671875
2020-01-14,8827.7646484375,8879.51171875,8140.93310546875,8140.93310546875,44841784107,,,79.41773074396407,,,,,97.36591200120895,108825141687,,7897.25390625
2020-01-15,8807.0107421875,8890.1171875,8657.1875,8825.34375,40102834650,,,78.57464982224246,,,,,95.79233670403912,68722307037,,7902.556640625
2020-01-16,8723.7861328125,8846.4609375,8612.095703125,8812.4814453125,31313981931,,,75.1303283946377,,,,,91.57869078438624,37408325106,,7902.556640625
2020-01-17,8929.0380859375,8958.1220703125,8677.31640625,8725.2099609375,36372139320,,,77.72380559824397,,,,,98.23584587967653,73780464426,,7936.55908203125
2020-01-18,8942.80859375,9012.1982421875,8827.33203125,8927.2119140625,32337772627,,,77.89039246457709,,,,,95.6945300748178,106118237053,,7963.59716796875
2020-01-19,8706.2451171875,9164.3623046875,8620.080078125,8941.4453125,34217320471,,,68.42388254278823,,,,,73.89748780179735,71900916582,,8039.67919921875
2020-01-20,8657.642578125,8745.5908203125,8560.4736328125,8704.6318359375,26422375678,8118.971240234375,8247.593722908125,66.6320993992178,9322.350889736837,6915.591590731912,,,64.75207519651488,45478540904,,8039.67919921875
2020-01-21,8745.89453125,8755.7060546875,8544.5205078125,8658.9912109375,24097418512,8196.257250976563,8295.050942750207,68.25753025023471,9351.246028466314,7041.268473486812,,,70.89096824615623,69575959416,,8039.67919921875
2020-01-22,8680.8759765625,8792.994140625,8636.7470703125,8744.2109375,22600204051,8281.0275390625,8331.796184065664,65.71761583088366,9310.116982027896,7251.938096097103,,,66.36821334572389,46975755365,,8039.67919921875
2020-01-23,8406.515625,8687.7470703125,8333.6376953125,8680.650390625,25770680779,8334.109106445312,8338.912321297506,56.212261809704025,9269.86071936924,7398.357493521385,,,47.283436231288924,21205074586,,8039.67919921875
2020-01-24,8445.4345703125,8514.6669921875,8266.8408203125,8405.5673828125,24397913026,8385.847998046875,8349.057297394173,57.158873310130865,9220.622965328826,7551.073030764923,,,37.77151138537848,45602987612,,8039.67919921875
2020-01-25,8367.84765625,8458.453125,8296.21875,8440.119140625,19647331549,8433.67451171875,8350.846855380441,54.623673092748724,9139.239932367822,7728.109091069677,,,31.05579272892795,25955656063,,8039.67919921875
2020-01-26,8596.830078125,8602.4013671875,8325.498046875,8364.41015625,22177678796,8475.055053710938,8374.273828975161,60.230046682004776,9113.801444294495,7836.30866312738,251.0624632606905,,47.676564236668355,48133334859,8377.640380859375,8039.67919921875
2020-01-27,8909.8193359375,8977.7265625,8597.30859375,8597.30859375,28647338393,8512.361401367187,8425.278162971576,66.3500193941654,9161.08672909528,7863.636073639095,264.0857857371793,,75.12842422863163,76780673252,8377.640380859375,8039.67919921875
2020-01-28,9358.58984375,9358.58984375,8908.447265625,8912.5244140625,34398744403,8576.29775390625,8514.164989712379,72.81062450283454,9290.652447471102,7861.9430603413975,307.0790756426959,,100.0,111179417655,8474.754150390625,8136.79296875
2020-01-29,9316.6298828125,9406.431640625,9269.4677734375,9357.470703125,30682598115,8648.17568359375,8590.590217626677,71.42972271241736,9356.71662431345,7939.634742874049,333.9165671389801,,92.11982439557784,80496819540,8597.304565429688,8160.7138671875
2020-01-30,9508.9931640625,9553.1259765625,9230.8974609375,9316.0166015625,32378792851,8715.297631835938,8678.05716490628,73.87586512931135,9480.685335569444,7949.909928102432,366.48299382822006,,96.56897132913642,112875612391,8693.407104492188,8234.06103515625
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,8780.947216796874,8742.102129855683,68.66069773543504,9527.54683230152,8034.347601292228,375.1805638651931,,84.24947386642128,83443122672,8695.596435546875,8234.06103515625
2020-02-01,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,8840.966259765624,8804.080498440855,69.2846972542664,9581.666983132422,8100.265536398827,381.0973421905692,,87.54156683035266,109365779168,8774.966918945312,8234.06103515625
2020-02-02,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946,8900.9748046875,8855.53618757744,67.62359003396784,9599.414023590662,8202.535585784337,377.520280176941,,83.77025955923216,78530042222,8782.311401367188,8234.06103515625
2020-02-03,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509,8924.262646484374,8897.249072986731,65.84180561743406,9642.17258648447,8206.352706484278,366.35960161723597,342.0775975622028,79.81750073643516,47595945713,8789.631225585938,8234.06103515625
2020-02-04,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716,8942.96025390625,8924.269436571329,61.95022873536741,9667.132665085974,8218.787842726528,344.4614089238239,342.5543598345271,71.06682883424591,17702761997,8857.583862304688,8234.06103515625
2020-02-05,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874,8987.442138671875,8989.90318814787,69.42701043687215,9759.975601134205,8214.908676209545,357.8775275096268,345.618993369547,93.87392895023848,52924822871,9080.026489257812,8308.14794921875
2020-02-06,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716,9027.480322265625,9060.369718592121,71.0742461931835,9864.100355609946,8190.860288921304,373.5940646387062,351.21400762337885,93.91329423601947,90553646587,9192.777221679688,8369.8076171875
2020-02-07,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159,9070.137060546875,9130.424351047634,71.99766942032673,9969.763604435271,8170.510516658479,386.92636177743043,358.3564784541892,97.47978636835083,125076364746,9215.486450195312,8374.8564453125
2020-02-08,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762,9128.08076171875,9200.395283388336,72.96959434882368,10074.555199137581,8181.606324299917,398.4807724356615,366.3813372504836,99.25029005697897,160248408508,9251.810668945312,8395.87255859375
