timestamp,bid,ask,ask_volume,bid_volume,Close,High,Low,Open,Volume,bid_ask_spread,order_book_depth,cumulative_price_volume,cumulative_volume,vwap
2025-07-13,120857.2,120866.2,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,9.0,4.7589999999999995,5839202116341808.0,49021091807,119116.1171875
2025-07-13,120857.3,120866.2,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,8.89999999999418,4.7589999999999995,1.1678404232683616e+16,98042183614,119116.1171875
2025-07-13,120857.3,120871.4,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,14.099999999991269,4.7589999999999995,1.7517606349025424e+16,147063275421,119116.1171875
2025-07-13,120857.3,120867.8,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,10.5,4.7589999999999995,2.335680846536723e+16,196084367228,119116.1171875
2025-07-13,120857.3,120867.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,10.39999999999418,4.7589999999999995,2.919601058170904e+16,245105459035,119116.1171875
2025-07-13,120867.6,120867.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.09999999999126885,4.7589999999999995,3.503521269805085e+16,294126550842,119116.1171875
2025-07-13,120857.5,120867.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,10.19999999999709,4.7589999999999995,4.087441481439266e+16,343147642649,119116.1171875
2025-07-13,120857.4,120867.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,10.30000000000291,4.7589999999999995,4.671361693073446e+16,392168734456,119116.1171875
2025-07-13,120857.2,120867.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,10.5,4.7589999999999995,5.255281904707627e+16,441189826263,119116.1171875
2025-07-13,120857.6,120865.6,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,8.0,4.7589999999999995,5.839202116341808e+16,490210918070,119116.1171875
2025-07-13,120857.6,120865.5,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,7.899999999994179,4.7589999999999995,6.423122327975989e+16,539232009877,119116.1171875
2025-07-13,120857.6,120867.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,10.099999999991269,4.7589999999999995,7.00704253961017e+16,588253101684,119116.1171875
2025-07-13,120857.6,120865.2,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,7.599999999991269,4.7589999999999995,7.59096275124435e+16,637274193491,119116.1171875
2025-07-13,120857.6,120857.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.09999999999126885,4.7589999999999995,8.174882962878531e+16,686295285298,119116.1171875
2025-07-13,120851.4,120857.7,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,6.30000000000291,4.7589999999999995,8.758803174512712e+16,735316377105,119116.1171875
2025-07-13,120851.4,120851.5,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.10000000000582077,4.7589999999999995,9.342723386146893e+16,784337468912,119116.1171875
2025-07-13,120850.0,120851.5,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,1.5,4.7589999999999995,9.926643597781074e+16,833358560719,119116.1171875
2025-07-13,120850.0,120850.1,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.10000000000582077,4.7589999999999995,1.0510563809415254e+17,882379652526,119116.1171875
2025-07-13,120850.0,120851.5,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,1.5,4.7589999999999995,1.1094484021049435e+17,931400744333,119116.1171875
2025-07-13,120851.3,120851.4,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.09999999999126885,4.7589999999999995,1.1678404232683616e+17,980421836140,119116.1171875
2025-07-13,120850.0,120851.4,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,1.3999999999941792,4.7589999999999995,1.2262324444317797e+17,1029442927947,119116.1171875
2025-07-13,120850.0,120850.1,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.10000000000582077,4.7589999999999995,1.2846244655951978e+17,1078464019754,119116.1171875
2025-07-13,120850.0,120851.3,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,1.3000000000029104,4.7589999999999995,1.3430164867586158e+17,1127485111561,119116.1171875
2025-07-13,120850.0,120850.1,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.10000000000582077,4.7589999999999995,1.401408507922034e+17,1176506203368,119116.1171875
2025-07-13,120850.0,120851.3,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,1.3000000000029104,4.7589999999999995,1.459800529085452e+17,1225527295175,119116.11718750001
2025-07-13,120851.1,120851.2,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.09999999999126885,4.7589999999999995,1.5181925502488704e+17,1274548386982,119116.11718750003
2025-07-13,120850.0,120851.2,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,1.1999999999970896,4.7589999999999995,1.5765845714122886e+17,1323569478789,119116.11718750003
2025-07-13,120850.0,120850.1,0.332,4.427,119116.1171875,119449.5703125,117265.4375,117432.203125,49021091807,0.10000000000582077,4.7589999999999995,1.634976592575707e+17,1372590570596,119116.11718750004
